Name,SKU,Description,Regular price,Categories,Images,Published,Type,UPC,Status
La Chona Crema Natural Sour Cream,la-chona-crema-natural-sour-cream,"","","",la-chona-crema-natural-sour-cream.jpg,0,simple,"",needs_review
La Crema Crema Natural,la-crema-crema-natural,"","","",la-crema-crema-natural.jpg,0,simple,"",needs_review
La Lajita Crema Natural,la-lajita-crema-natural,"","","",la-lajita-crema-natural.jpg,0,simple,"",needs_review
La Vaquita Crema Natural,la-vaquita-crema-natural,"","","",la-vaquita-crema-natural.jpg,0,simple,"",needs_review
Lala Lala Durazno 900g,lala-lala-durazno-900g,"","","",lala-lala-durazno-900g.jpg,1,simple,"",verified
Lulu S Fruta Fresca Pi A Descorazonada,lulu-s-fruta-fresca-pi-a-descorazonada,"","","",lulu-s-fruta-fresca-pi-a-descorazonada.jpg,0,simple,"",needs_review
Maestro D Agua Bebida De Yogur,maestro-d-agua-bebida-de-yogur,"","","",maestro-d-agua-bebida-de-yogur.jpg,0,simple,"",needs_review
Maestro Yogur Sabor Mango,maestro-yogur-sabor-mango,"","","",maestro-yogur-sabor-mango.jpg,0,simple,"",needs_review
Mama Licha Chorizo Salvadoreno,mama-licha-chorizo-salvadoreno,"","","",mama-licha-chorizo-salvadoreno.jpg,0,simple,"",needs_review
Mama Lycha Chorizo Salvadore O,mama-lycha-chorizo-salvadore-o,"","","",mama-lycha-chorizo-salvadore-o.jpg,0,simple,"",needs_review
Nuestro Yogurt Para Beber Pi A Colada,nuestro-yogurt-para-beber-pi-a-colada,"","","",nuestro-yogurt-para-beber-pi-a-colada.jpg,0,simple,"",needs_review
Optimum Smoothie Mango Peach,optimum-smoothie-mango-peach,"","","",optimum-smoothie-mango-peach.jpg,0,simple,"",needs_review
Presidente Crema Salvadore A Sour Cream,presidente-crema-salvadore-a-sour-cream,"","","",presidente-crema-salvadore-a-sour-cream.jpg,0,simple,"",needs_review
Quaker Avena En Hojuelas Original,quaker-avena-en-hojuelas-original,"","","",quaker-avena-en-hojuelas-original.jpg,1,simple,"",verified
Quamto Mango Nectar,quamto-mango-nectar,"","","",quamto-mango-nectar.jpg,0,simple,"",needs_review
Saborico Melon Yogurt Drink,saborico-melon-yogurt-drink,"","","",saborico-melon-yogurt-drink.jpg,0,simple,"",needs_review
Saborico Yogurt Drink Melon,saborico-yogurt-drink-melon,"","","",saborico-yogurt-drink-melon.jpg,0,simple,"",needs_review
Saboricos Yogurt Drink Durazno,saboricos-yogurt-drink-durazno,"","","",saboricos-yogurt-drink-durazno.jpg,0,simple,"",needs_review
Sureshot Yogurt,sureshot-yogurt,"","","",sureshot-yogurt.jpg,0,simple,"",needs_review
Yoplait Original Drink Papaya Mango,yoplait-original-drink-papaya-mango,"","","",yoplait-original-drink-papaya-mango.jpg,0,simple,"",needs_review
